model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
mistral,contrastive,gender,male,8.0,484,-0.29853060347946925,-0.27297610350604895,-0.22547688853911738,-0.19721930218985884,-0.07305371494035193,-0.027699974999999988,0.22727272727272727,0.0
mistral,contrastive,gender,male,10.0,484,-0.2953605940513049,-0.26457620366429907,-0.22218900990798005,-0.19164444184900553,-0.07317158414332488,-0.027699975000000016,0.22933884297520662,0.0
mistral,contrastive,gender,male,12.0,484,-0.2928190937878287,-0.26010905039563437,-0.21948103229936838,-0.19055749718512058,-0.07333806148846024,-0.027699974999999988,0.22933884297520662,0.0
mistral,contrastive,gender,male,14.0,484,-0.29140380638120567,-0.2583341881602812,-0.21791367960826843,-0.18922123963020357,-0.07349012677293722,-0.027699974999999988,0.22727272727272727,0.0
mistral,contrastive,gender,male,16.0,484,-0.2900998192367664,-0.2572003213672276,-0.21652566672216061,-0.1889200794580616,-0.0735741525146058,-0.028004294831920185,0.22727272727272727,0.0
mistral,contrastive,gender,male,18.0,484,-0.2887316834581318,-0.25854565753560466,-0.21512403276245454,-0.18794983631965162,-0.07360765069567729,-0.028443915000000014,0.22933884297520662,0.0
mistral,contrastive,gender,male,20.0,484,-0.28813343265227215,-0.257904924045908,-0.214536644206897,-0.18510234293762834,-0.07359678844537514,-0.0297498329990408,0.23140495867768596,0.0
mistral,contrastive,gender,female,0.0,484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,contrastive,gender,female,2.0,484,-0.10921208538937777,-0.07917265318988949,-0.17856551611129598,-0.1622183369230035,0.06935343072191824,0.038652127115974655,-0.20454545454545456,0.0
mistral,contrastive,gender,female,4.0,484,-0.07649487698861593,-0.056590735085111143,-0.14954669085999603,-0.1454233899951427,0.07305181387138007,0.040010653580845545,-0.23140495867768596,0.0
mistral,contrastive,gender,female,6.0,484,-0.06752917338502322,-0.05054653412922405,-0.14169020671389732,-0.14110719889810827,0.07416103332887411,0.04130410693082781,-0.2334710743801653,0.0
mistral,contrastive,gender,female,8.0,484,-0.062400588394719306,-0.04745341623204076,-0.1368555563580713,-0.12826065001491782,0.07445496796335199,0.04130410693082784,-0.2334710743801653,0.0
mistral,contrastive,gender,female,10.0,484,-0.06039023429220213,-0.046648079275372206,-0.13512320512052797,-0.12827678592027936,0.07473297082832583,0.04130410693082784,-0.2334710743801653,0.0
mistral,contrastive,gender,female,12.0,484,-0.05898257609712077,-0.046707654227661266,-0.133814352698714,-0.12475784565709434,0.07483177660159321,0.04130410693082784,-0.23140495867768596,0.0
mistral,contrastive,gender,female,14.0,484,-0.057645573552562904,-0.047845963879622214,-0.13260212169571356,-0.12645018639319483,0.07495654814315061,0.04130410693082781,-0.22933884297520662,0.0
mistral,contrastive,gender,female,16.0,484,-0.05697534980072734,-0.04430582818188766,-0.13203504760248438,-0.1258878820759219,0.07505969780175703,0.04130410693082784,-0.22933884297520662,0.0
mistral,contrastive,gender,female,18.0,484,-0.055421181535925186,-0.045791735654494375,-0.13051419669445322,-0.12407978217012777,0.07509301515852804,0.04130410693082784,-0.22933884297520662,0.0
mistral,contrastive,gender,female,20.0,484,-0.0555660627456754,-0.044271587304191506,-0.13077167724527222,-0.12357144477614504,0.07520561449959681,0.04130410693082784,-0.22933884297520662,0.0
mistral,contrastive,age,adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,contrastive,age,adult,2.0,482,-0.2809683729459369,-0.23718461034092814,-0.25443867353309496,-0.20938991097046758,-0.026529699412841952,-0.01190148855919905,0.10995850622406639,0.0
